feature,brugada_mean,normal_mean,effect_size,abs_effect,p_value
st_V2_st_slope_j20_j80_max,-0.0005436936936936703,0.0011522648083623452,-0.8010865734321745,0.8010865734321745,3.345268351233247e-16
morph_V1_high_takeoff_gt_1mm_mean,0.8872179997179999,0.5621093800650925,0.7883057325878919,0.7883057325878919,1.8183523146766309e-10
st_V1_high_takeoff_gt_1mm_mean,0.8872179997179999,0.5621093800650925,0.7883057325878919,0.7883057325878919,1.8183523146766309e-10
morph_V1_high_takeoff_gt_2mm_max,0.6081081081081081,0.24390243902439024,0.7806117394375204,0.7806117394375204,2.1423847889236348e-09
st_V1_high_takeoff_gt_2mm_max,0.6081081081081081,0.24390243902439024,0.7806117394375204,0.7806117394375204,2.1423847889236348e-09
st_V1_high_takeoff_gt_1mm_min,0.7027027027027027,0.32752613240418116,0.7633872489679122,0.7633872489679122,4.783001185253829e-09
morph_V1_high_takeoff_gt_1mm_min,0.7027027027027027,0.32752613240418116,0.7633872489679122,0.7633872489679122,4.783001185253829e-09
st_V1_st_monotonicity_mean,0.8647884052964269,0.6892310613262553,0.7615532216509301,0.7615532216509301,1.0399291980362996e-10
sq_V4_snr_proxy,2687.3857582757387,1031.4260590709068,0.7603547935763791,0.7603547935763791,2.283968733729066e-09
st_V1_st_monotonicity_median,0.8771498771498771,0.6959138422553057,0.7571931661621674,0.7571931661621674,3.7905422839158765e-10
morph_V2_high_takeoff_gt_1mm_mean,0.9222736722736723,0.5998737639709689,0.7546271822940862,0.7546271822940862,4.390939405627804e-10
st_V2_high_takeoff_gt_1mm_mean,0.9222736722736723,0.5998737639709689,0.7546271822940862,0.7546271822940862,4.390939405627804e-10
st_V1_st_slope_j20_j80_min,-0.0024520270270269877,-0.0012615563298489752,-0.7529085611103457,0.7529085611103457,1.2155855965020017e-15
st_V2_j_point_amplitude_min,0.2209527027027027,0.08971602787456444,0.7484020953921233,0.7484020953921233,1.1435916890813667e-14
morph_V2_saddleback_score_median,0.03752027027027024,0.005173780487804856,0.7434840921131246,0.7434840921131246,0.0033943273659748866
st_V1_st_area_above_baseline_mean,1.3729825712178656,0.9089154797206114,0.7403685655685747,0.7403685655685747,6.381940017150684e-08
st_V1_st_convexity_mean,-0.0014491984122130973,1.408590762744626e-05,-0.7355853985388263,0.7355853985388263,5.6460230535511315e-09
sq_V5_snr_proxy,3539.1899548047413,1433.3452856970366,0.735319423424321,0.735319423424321,4.7218896363430346e-08
st_V1_st_area_above_baseline_median,1.3769037162162159,0.9048593205574912,0.735251735568141,0.735251735568141,9.571768326727656e-08
