feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
st_V2_st_j60_std,0.015634779141352088,0.026691759576594774,0.00525785470704035,0.05708064536706546,-0.011056980435242687,-0.19612800899603355,0.19612800899603355
morph_V2_t_amplitude_median,0.04134375,0.04704151624548734,0.026826682583530524,0.029117930422151075,-0.005697766245487339,-0.19604586301115998,0.19604586301115998
st_V1_st_area_above_baseline_median,0.9117500000000001,1.037596119133574,0.5741429074063356,0.6471355289122337,-0.12584611913357402,-0.1949803865735508,0.1949803865735508
morph_V3_saddleback_score_max,0.0033645833333332876,0.04732851985559563,0.0018441619125559926,0.22894823322902413,-0.04396393652226234,-0.19444536488906622,0.19444536488906622
sq_V2_range,1.5745,1.7418339350180507,0.5822654034029499,0.8674854077799986,-0.16733393501805072,-0.19421975237380776,0.19421975237380776
sq_V4_snr_proxy,961.710636367061,1371.8877964821536,535.5471659055706,2159.262336482377,-410.17716011509253,-0.19220567979962405,0.19220567979962405
morph_V2_t_mean_min,-0.007647727272727287,-0.022997671610909546,0.03020138801131358,0.08083506282946284,0.015349944338182259,0.19194565571151606,0.19194565571151606
st_V3_st_convexity_max,0.0038374999999999377,0.004396028880866388,0.0015353643704345752,0.0029441281166751043,-0.0005585288808664505,-0.19144099920439456,0.19144099920439456
st_V1_st_slope_j0_j40_max,-0.0005343749999999624,-0.00010153429602887399,0.00046669340511194693,0.0022949304299752964,-0.00043284070397108844,-0.1908840370410408,0.1908840370410408
st_V2_st_monotonicity_min,0.23863636363636362,0.2904496225795864,0.2608690973465681,0.27362683523713777,-0.05181325894322278,-0.1895710219914472,0.1895710219914472
morph_V2_t_amplitude_min,0.026749999999999986,0.03124729241877253,0.018671502349837853,0.023889019158419095,-0.004497292418772544,-0.18917027745095455,0.18917027745095455
st_V1_rs_ratio_median,-0.9750664665351746,-1.18957989212085,0.646290447551061,1.154189073474297,0.21451342558567543,0.18745464875008608,0.18745464875008608
morph_V1_t_amplitude_max,0.052874999999999964,0.07601985559566786,0.023562085540121444,0.12498135804376147,-0.023144855595667896,-0.18743567766107727,0.18743567766107727
sq_V6_snr_proxy,1666.67691351972,2323.067074542276,1097.5493047840118,3566.605160138532,-656.3901610225557,-0.18613360922819971,0.18613360922819971
st_V3_st_slope_j0_j40_mean,0.00057433576839825,0.0009311783678417815,0.0006056416817773917,0.0019439314293567562,-0.0003568425994435315,-0.18565237368061252,0.18565237368061252
st_V2_st_curvature_sign_max,1.0,0.9350180505415162,0.0,0.35460012008111697,0.06498194945848379,0.18556349106113418,0.18556349106113418
morph_V1_t_inversion_indicator_max,0.0,0.032490974729241874,0.0,0.17730006004055848,-0.032490974729241874,-0.18556349106113404,0.18556349106113404
st_V3_r_amplitude_max,0.7889999999999999,0.6517960288808665,0.4995853280471715,0.7474959599896421,0.1372039711191334,0.1848205606636084,0.1848205606636084
st_V1_st_j60_median,0.07146874999999997,0.08222292418772563,0.04369289800342271,0.058567682681031706,-0.01075417418772566,-0.18463498857680932,0.18463498857680932
sq_aVL_mean,0.005814479166666626,0.0034618742478940926,0.004903229376898728,0.012883986543396852,0.002352604918772533,0.1845615529610065,0.1845615529610065
st_V3_st_convexity_min,0.0016249999999999628,0.0002866425992779599,0.0013131545986668739,0.007368015710818197,0.001338357400722003,0.18385920369798917,0.18385920369798917
morph_V2_t_peak_value_max,0.028749999999999977,0.047332129963898906,0.04006791110102945,0.1026072995489795,-0.01858212996389893,-0.18302807986224912,0.18302807986224912
st_V1_st_j80_j0_ratio_min,0.3216979971251466,-0.012998207582670552,0.21631269564236577,1.8667060533780662,0.33469620470781714,0.18152631363798472,0.18152631363798472
st_V1_st_area_above_baseline_mean,0.9237996482683983,1.0380488498856684,0.5861030403706817,0.6315394700815706,-0.11424920161727004,-0.181217031768282,0.181217031768282
morph_V1_t_amplitude_std,0.00847472941455745,0.013892734259985905,0.0025050446982832477,0.03033183587930261,-0.005418004845428455,-0.18085970045616007,0.18085970045616007
st_V1_st_convexity_max,0.0011749999999999998,0.001607581227436794,0.0015618498647436948,0.0024107117149596968,-0.00043258122743679425,-0.1807430415093259,0.1807430415093259
st_V2_st_slope_j0_j40_median,-0.0002562499999999875,-0.0006298285198555906,0.0016170961628796227,0.002081467681652582,0.00037357851985560307,0.1803648795466076,0.1803648795466076
st_V3_s_amplitude_max,-0.9623125,-0.8758935018050542,0.35251958611366546,0.48195063414045547,-0.0864189981949458,-0.18035104862244894,0.18035104862244894
morph_V3_saddleback_score_median,0.0021093749999999624,0.012477135980746052,0.0016687405716545823,0.05897513641784792,-0.01036776098074609,-0.17801241397605916,0.17801241397605916
morph_V2_t_polarity_std,0.31331106586882335,0.38627273494148623,0.41001190876568355,0.4117938742534465,-0.07296166907266288,-0.1771990005973498,0.1771990005973498
st_V2_st_slope_j20_j80_min,-0.0004208333333333375,-0.0007583032490974596,0.0014143301810790247,0.0019165992373158037,0.00033746991576412205,0.17707771532337446,0.17707771532337446
st_V3_st_monotonicity_mean,0.11343467138921678,0.1476397817237942,0.12259343420893587,0.1947654660474625,-0.034205110334577404,-0.1769483888850564,0.1769483888850564
sq_V6_max,0.98425,1.0658267148014442,0.3570685333377894,0.46522587069773297,-0.08157671480144424,-0.1762465989195718,0.1762465989195718
sq_V4_noise_energy,0.00015109988503897532,0.0002233975377487687,0.00020386116249637468,0.0004155802101663821,-7.229765270979339e-05,-0.17562517859255167,0.17562517859255167
sq_V4_std,0.252851392610549,0.26755284183511924,0.0514609510995055,0.08442479608354979,-0.014701449224570229,-0.17550606742346883,0.17550606742346883
morph_V2_t_peak_value_std,0.017912946903854376,0.026674229813186314,0.006644475974930108,0.05058879868745049,-0.008761282909331938,-0.1753303211149623,0.1753303211149623
sq_V4_rms,0.2606942471682492,0.27607529553016025,0.053263442294377315,0.08868213764838191,-0.015381048361911065,-0.17482792680778725,0.17482792680778725
