feature,native_importance_mean,native_importance_std
st_V1_s_amplitude_mean,0.6580168183754321,0.558036750070515
morph_V1_trough_depth_between_humps_n_valid,0.6514816645935181,0.30589872760737696
st_V3_st_area_above_baseline_max,0.6325404191489401,0.6858825895313627
sq_V4_noise_energy,0.6284462161567652,0.7003698279744459
st_V1_st_curvature_sign_std,0.6131031980023767,1.332404455211012
sq_V5_snr_proxy,0.595726813439892,0.1161050349476151
morph_V1_saddleback_score_mean,0.5938063533706962,1.2468751640869944
sq_III_snr_proxy,0.5792854932002632,0.3431560235615643
morph_V1_high_takeoff_gt_2mm_max,0.5593948162451304,0.7396392303063353
st_V2_st_j60_mean,0.5545082404493836,0.45274867379311073
morph_V3_saddleback_score_max,0.5491972606436898,0.40139069867469146
st_V1_st_j80_mean,0.5439111082502313,0.5128875726625284
st_V1_st_slope_j0_j40_std,0.5318291099294012,0.48833535821433466
st_V3_st_j20_min,0.5287671917234404,0.674220373510208
morph_V2_t_peak_value_std,0.5199215281019223,0.6549004305049251
st_V2_st_convexity_median,0.5157179397761892,0.5124204296777113
st_V1_st_j40_mean,0.513911523398803,0.857718750980165
st_V1_st_j80_median,0.5058870226657832,0.5184640836780021
st_V3_st_j40_n_valid,0.5033144289009079,0.6984950223250511
morph_V3_t_mean_max,0.49635812097869836,0.3247964583275083
st_V2_st_curvature_sign_min,0.49089207225225345,0.6239472840434879
sq_I_snr_proxy,0.48903614389359007,0.8237092964019193
morph_V2_high_takeoff_gt_1mm_mean,0.48581624569727333,0.5486378329976015
morph_V1_covedness_score_min,0.4832717331812811,0.5389418381209083
sq_V5_noise_energy,0.4820412312582668,0.41238549124733065
st_V1_st_j80_j0_ratio_std,0.48162092939441364,0.546181990829766
st_V1_st_slope_j0_j40_max,0.46799618074597643,0.5450551941551482
sq_II_max,0.46577344193209386,0.3254220858713145
st_V1_st_curvature_sign_mean,0.4638988084418526,0.13445404126404095
st_V2_j_point_amplitude_max,0.4583253958272384,0.27537084463934086
st_V2_st_convexity_std,0.455089055064804,0.9165329598373306
st_V2_s_amplitude_mean,0.44689264307615534,0.9097101061437908
morph_V1_t_amplitude_max,0.4301175274605831,0.6064765438098344
morph_V2_t_amplitude_std,0.42719719728851757,0.316420029491572
sq_aVF_rms,0.42220297455881173,0.5630216371341984
sq_V2_max,0.4189840277683266,0.23055935245381004
st_V3_st_j80_std,0.4152783709208223,0.808937393367152
morph_V3_high_takeoff_gt_2mm_std,0.40445408518859355,0.23287772650469604
morph_V2_t_peak_value_n_valid,0.39913012168231216,0.4613170594333338
morph_V1_high_takeoff_gt_2mm_median,0.3939243377194036,0.6307863756568997
morph_V2_saddleback_score_std,0.387571223080318,0.15709418035947856
st_V3_st_j40_std,0.38085328423359394,0.5309026334877665
st_V3_rs_ratio_n_valid,0.3804141306666581,0.3933255420738982
morph_V3_high_takeoff_gt_2mm_n_valid,0.378946233211107,0.45146858626640335
rr_std_ms,0.37432796012092845,0.4418619727860437
sq_aVF_snr_proxy,0.36563167024509247,0.29753226164378554
sq_aVF_mean,0.359171466332485,0.4963757553433095
sq_V1_min,0.3537277285626242,0.45638486317919713
st_V2_st_j40_min,0.35310214259922945,0.2860381828122591
st_V1_st_area_above_baseline_n_valid,0.35253144213544213,0.22514753722423128
morph_V3_trough_depth_between_humps_max,0.35235600344913887,0.3745897952150681
morph_V1_second_hump_present_mean,0.35015857665283245,0.4808269902005726
morph_V1_high_takeoff_gt_2mm_std,0.3382826727129159,0.20988800007395797
st_V1_st_j40_max,0.3366365906308874,0.5757330790297442
sq_V4_rms,0.33189842370312556,0.3134337974372435
morph_V1_t_polarity_min,0.3317871526488666,0.3990092614606631
sq_aVR_noise_energy,0.3285176590820201,0.734587817516498
sq_V4_mean,0.32611632873150753,0.3486729640452853
st_V3_st_j20_n_valid,0.3260305231887671,0.16322518972940545
sq_V6_max,0.3232367688008623,0.48663057148541927
morph_V3_t_mean_mean,0.3174891899518597,0.4291578484565926
st_V2_j_point_amplitude_std,0.3154626169569172,0.4866435312106998
morph_V2_second_hump_amplitude_mean,0.3124222336958441,0.3401097816969816
morph_V1_t_polarity_std,0.30598571904884436,0.28907193725498465
st_V2_st_monotonicity_mean,0.30326888169607946,0.5995155663632482
morph_V3_trough_depth_between_humps_n_valid,0.30049591290399214,0.5316448562600383
st_V2_j_point_confidence_median,0.30038997382261295,0.29260325179520275
morph_V2_t_peak_value_median,0.29532091241642117,0.44947262353556516
sq_aVL_std,0.2947428111236413,0.35668316486680507
morph_V3_high_takeoff_gt_2mm_min,0.2910735750648709,0.20661427283563452
sq_V6_noise_energy,0.2895399010464744,0.33565489791675324
