feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
morph_V1_t_polarity_min,0.02779378927459836,0.031887353129542106,0.02212153789930432,-0.003141466039930605,-0.004093563854943746
morph_V1_high_takeoff_gt_1mm_min,0.02762247955181486,0.025146313019077327,0.0046107735577970745,0.004559331673914611,0.002476166532737533
st_V2_j_point_confidence_median,0.027209469022866514,0.02044316536094668,0.01612560436840315,0.0010084542830698607,0.006766303661919833
morph_V3_second_hump_present_std,0.02711201873632439,0.02775488647220182,0.010356710345582335,-0.007368341076547986,-0.0006428677358774303
morph_V1_saddleback_score_mean,0.02688642705962256,0.027860773432649363,0.0108824159947567,-0.005311286061067613,-0.0009743463730268014
st_V2_st_j60_median,0.02667174324001134,0.02271751046446816,0.012170095423628626,-0.00897279401942568,0.003954232775543177
cl_max_st_j40_v1v3,0.02652929891750987,0.02327432841915175,0.005066798935065331,-0.004845286690879863,0.0032549704983581215
sq_V6_noise_energy,0.02651838802953101,0.02190761568894419,0.006777970224471865,-0.00019752633858483306,0.004610772340586818
sq_aVF_snr_proxy,0.0260547180152743,0.020943521834189485,0.01122037650061479,0.0013745067225451437,0.005111196181084816
st_V1_s_amplitude_std,0.025161944395911493,0.024962650006344983,0.009999031009838748,0.004271206498821011,0.00019929438956651016
st_V1_r_amplitude_std,0.02481701552769854,0.01813112535945525,0.005229114097984218,0.004970469148083222,0.006685890168243287
st_V1_st_j20_max,0.02479881918253865,0.030427288035586246,0.01465690120588987,-0.0036462013054807834,-0.005628468853047595
sq_V6_max,0.024760458032649573,0.03275271304827895,0.00020901449955998262,-0.0033408638892714884,-0.00799225501562938
sq_V4_rms,0.02446694587872016,0.025132833076413785,0.008841231968008756,-0.000588742656574847,-0.0006658871976936258
morph_V2_second_hump_amplitude_mean,0.024411188681413853,0.02322801927949923,0.007344856406071849,0.0023051283486959745,0.0011831694019146244
sq_aVL_std,0.02421834177637812,0.02520699659419225,-0.008946750129658848,0.0019781177770832915,-0.000988654817814131
sq_I_snr_proxy,0.024083650888335924,0.02579506423914935,-0.002506789746694272,0.008446869209071289,-0.0017114133508134254
st_V1_r_amplitude_min,0.023908318698430717,0.011258067818154091,0.015569543315122199,0.0006563132973258093,0.012650250880276626
st_V2_high_takeoff_gt_2mm_std,0.023729785789588537,0.03023593390444842,0.020020109527793355,-0.0009964626335671946,-0.006506148114859882
morph_V2_high_takeoff_gt_2mm_max,0.023426871258079202,0.03408156658032783,0.011539630187479274,-0.008045268196820287,-0.010654695322248626
st_V2_st_j20_std,0.02289897376683686,0.020013564648917927,-0.0007705395035200641,0.0010137685220883248,0.0028854091179189335
morph_V2_t_mean_min,0.022838649086556126,0.021928679529278988,-0.005792639651580865,-0.0039346721994233,0.0009099695572771377
morph_V2_high_takeoff_gt_2mm_min,0.022411721373393513,0.015754555939154802,0.011006130656889195,-0.002258409269459098,0.006657165434238711
st_V3_st_curvature_sign_max,0.021956686806056235,0.019402700091528793,0.003055734289932578,-0.0015451229233311116,0.002553986714527442
morph_V2_high_takeoff_gt_2mm_n_valid,0.021892838247463495,0.026341993100259715,0.0007420311953970403,0.0003369893003514667,-0.004449154852796219
st_V1_st_slope_j0_j40_mean,0.021730199289679685,0.028394227685562493,0.00981079237106697,-0.007048887690944588,-0.006664028395882808
st_V1_st_j40_max,0.021675864253928367,0.0313313224537214,0.015901711766706086,-0.0012874849043942316,-0.009655458199793035
morph_V1_t_polarity_std,0.02153973246546227,0.022276426161138816,0.01793792332603755,-0.0032329299307764167,-0.0007366936956765477
morph_V3_trough_depth_between_humps_n_valid,0.02145801299852072,0.029225025359015465,0.010448781676761993,0.0003232535149720375,-0.007767012360494745
st_V1_st_slope_j20_j80_std,0.021364906053548932,0.013934011567150325,-0.000550082452154089,0.002262357456564164,0.0074308944863986075
sq_II_range,0.021240411565982196,0.022056415551098683,0.010358929152257331,-0.0031320907465646358,-0.0008160039851164876
sq_I_baseline_drift,0.020681434585222636,0.023270920871494093,-0.0007505561163845188,-0.0006143332255894037,-0.0025894862862714564
st_V1_st_slope_j0_j40_max,0.02046738842742724,0.016626841444445047,0.0020712937694502675,-0.005977811482089982,0.0038405469829821924
st_V2_s_amplitude_min,0.020337852989078305,0.009552784721311871,0.008844315170947687,-0.003812032943779647,0.010785068267766434
st_V2_j_point_confidence_std,0.02025273806531912,0.019191288704276426,0.007750422470700477,0.0027698876114094734,0.0010614493610426948
sq_I_noise_energy,0.020217997691820744,0.015396489347542114,0.0012819601649013946,0.0020596481113652316,0.00482150834427863
st_V3_st_j40_max,0.0200723042776563,0.014122478533795784,-0.007428467213543826,-0.0003389086038886719,0.0059498257438605155
st_V2_st_curvature_sign_std,0.020039863601927367,0.012790549582765626,0.00266769628368293,-0.002128246269168128,0.007249314019161741
sq_aVF_std,0.020027943572433836,0.021522866128375964,0.005954174504578585,0.002504288260370652,-0.0014949225559421284
morph_V2_saddleback_score_mean,0.019737370606805915,0.018005130245944127,0.0029097991975906533,-0.0007390816352015487,0.0017322403608617878
st_V3_j_point_amplitude_mean,0.01967957093956339,0.019136385266516565,0.008989127671321553,7.934224490036958e-05,0.0005431856730468247
morph_V1_t_polarity_mean,0.019584516453140032,0.019065193302397174,-0.002758558107858631,0.000502844669560821,0.0005193231507428578
morph_V2_t_mean_n_valid,0.019106566428427396,0.013807570959022705,-0.0038027924530845583,0.0009926498859782992,0.005298995469404691
sq_I_mean,0.019082926569849605,0.02047129905170949,0.007196919653613691,-0.0005028804258414279,-0.0013883724818598842
st_V3_r_amplitude_n_valid,0.01903008749524717,0.018895068656205338,0.008100335451798793,-0.0015090373805188653,0.00013501883904183318
morph_V1_saddleback_score_median,0.018823355809619968,0.008960899076009138,0.006027081176779518,-6.969207641424834e-05,0.00986245673361083
