feature,perm_importance_mean,perm_importance_std_within,perm_importance_fold_std,perm_importance_min,perm_importance_max,perm_stable
st_V3_j_point_amplitude_mean,0.0005275257108288089,0.0006956184457470236,0.0009521279455956595,-0.00029239766081872175,0.0019540229885057917,False
st_V3_r_amplitude_mean,0.0005134099616858393,0.00020288432635822464,0.001148019574655099,0.0,0.0025670498084291965,False
sq_V3_noise_energy,0.0005086038851919072,0.0006723098506319871,0.0006517419037591006,-0.000365497076023417,0.0011306042884990783,False
morph_V2_t_amplitude_mean,0.0005075788129327326,0.001167767924212739,0.0005885305286295167,-0.0001559454191033057,0.001226053639846795,False
st_V2_st_j80_j0_ratio_median,0.0004999663910734889,0.000697185514533707,0.0013866564440350338,-0.0007662835249041655,0.0028460038986354813,False
sq_aVL_rms,0.0004951939235060743,0.0009119152115463023,0.0012914570499451806,-0.0008045977011493825,0.002452107279693531,False
morph_V1_second_hump_present_min,0.000491631377293799,0.0008168512463490859,0.0006347130264273051,-0.00045977011494248524,0.001286549707602332,False
st_V3_st_monotonicity_min,0.0004912280701754423,0.0003684933429123909,0.0008785348194871495,0.0,0.002027290448343111,False
sq_V1_std,0.0004846407205754014,0.0008097177220933894,0.000858429093187358,-7.662835249037104e-05,0.001954022988505825,False
sq_aVL_noise_energy,0.00047993547086106587,0.0004082305971410467,0.0005789529523223196,0.0,0.0014035087719297585,False
sq_V4_rms,0.0004799018619345485,0.0007677360111306532,0.0005493955575490208,0.0,0.0014176245210728614,False
morph_V3_saddleback_score_max,0.000479212878940678,0.001066130510184029,0.0009733615481729949,-0.0010344827586205659,0.001264367816091975,False
st_V3_st_area_above_baseline_max,0.0004744236069099987,0.001385221007112802,0.0016054933477252134,-0.0021052631578948175,0.0019103313840156142,False
st_V1_st_j20_median,0.00046963433487935187,0.0010443790207681645,0.0007234340650607313,-0.0004288499025340897,0.0012061403508771495,False
sq_aVL_snr_proxy,0.00045829132217518247,0.0007889816033362269,0.001316017282137491,-0.000584795321637499,0.002758620689655215,False
st_V2_st_j40_n_valid,0.00045518249647108933,0.0011501252349857246,0.001276137074965768,-0.000919540229884989,0.0019883040935672392,False
st_V1_st_slope_j0_j40_std,0.0004503596155138741,0.0011596963768075441,0.0008843305005929428,-0.0002339181286550603,0.0019493177387914266,False
st_V2_st_j80_j0_ratio_n_valid,0.0004452510586811849,0.000581205126281656,0.000933152992057421,-0.0002298850574712241,0.0020662768031188975,False
sq_V6_range,0.0004436546346709809,0.0007694404632908324,0.001086281554621613,-0.0007675438596491446,0.0020662768031189677,False
sq_II_snr_proxy,0.000440965920548501,0.0005943406748185841,0.00031123540244155034,0.0,0.0007017543859648849,False
st_V3_st_j20_min,0.0004386301001545882,0.0005433251340703475,0.0006578928739691769,-0.00021929824561404133,0.0014424951267055564,False
st_V2_st_j20_n_valid,0.0004312361363178126,0.0006276835554852856,0.0007803676510541025,-0.00021929824561404133,0.0016858237547892803,False
st_V2_st_area_above_baseline_mean,0.00042884990253410445,0.00022920918560912764,0.0008949894957698849,0.0,0.0020272904483430404,False
st_V2_st_j60_mean,0.00042051488875447884,0.0013035116481849669,0.001083978553191193,-0.00126436781609189,0.0014176245210728651,False
st_V2_rs_ratio_std,0.00041668347112995796,0.0007832944665128576,0.0011175560482639157,-0.0013026819923370883,0.0016081871345029254,False
morph_V3_high_takeoff_gt_2mm_n_valid,0.00041454930429521837,0.0017927207811286212,0.001661041895994684,-0.0023757309941520957,0.0018713450292396794,False
st_V3_st_j20_mean,0.00041451569536870604,0.00034103227949785944,0.00040296361664307135,0.0,0.0009137426900585055,False
st_V1_st_j20_std,0.00041379310344828116,0.0005126042135830484,0.001104618366424061,-0.00030651340996167654,0.0023754789272030824,False
st_V3_rs_ratio_max,0.0004132553606238025,0.00020644370050485364,0.0009240670784210123,0.0,0.0020662768031190124,False
st_V3_st_curvature_sign_mean,0.0004102305572360088,0.0020971716189263495,0.0021827521888662773,-0.0032567049808428505,0.0024521072796935234,False
sq_V4_range,0.00040448343079920655,0.00048534196391057834,0.0005328853221870796,0.0,0.001130604288498982,False
morph_V3_t_amplitude_min,0.00039903878470121763,0.002626127953299052,0.003044984508506911,-0.0025730994152046494,0.004291187739463649,False
morph_V3_t_peak_value_max,0.0003900820057807741,0.0006351501975247569,0.0007118855486637418,-0.0003118908382065929,0.001302681992337203,False
sq_I_min,0.00038354506957049005,0.0009366362375442692,0.001371474305450806,-0.0009195402298850075,0.002720306513410009,False
sq_V6_noise_energy,0.00037426900584798105,0.0009435992335938403,0.0008373293448475256,-3.831417624519107e-05,0.0018713450292398312,False
sq_V1_range,0.00036942932042751157,0.0007783216709891307,0.0004118676519086987,-7.797270955173611e-05,0.0009195402298850593,False
st_V2_st_j40_j0_ratio_mean,0.0003689083820662871,0.0001692319622722895,0.0005072078776351374,0.0,0.000986842105263186,False
